City,Country,Max Temp,Lat,Lng,Hotel Name
Along,IN,75.22,28.17,94.77,Hotel West
Atuona,PF,79.75,-9.8,-139.03,Villa Enata
Albany,US,82.99,42.6,-73.97,
Bengkulu,ID,76.96,-3.8,102.27,Grage Hotel Bengkulu
Saquena,PE,81.77,-4.67,-73.52,
Lorengau,PG,82.94,-2.02,147.27,Lorengau Harbourside Hotel
Kontagora,NG,81.32,10.4,5.47,City Gate Inn
Fukue,JP,75.94,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
Kalmunai,LK,80.87,7.42,81.82,VS Villa
Batouri,CM,71.78,4.43,14.37,Hotel Hollywood
Palmer,US,73.4,42.16,-72.33,Wedgewood Motel
Tezu,IN,78.49,27.92,96.17,Circuit House
Kapaa,US,78.8,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Butaritari,KI,82.26,3.07,172.79,Isles Sunset Lodge
Roma,US,75.99,43.21,-75.46,Wingate By Wyndham Rome
Paka,MY,78.8,4.64,103.44,Rumbia Resort Villa Paka Terengganu
Inirida,CO,88.41,3.87,-67.92,Fuente del Guania Hotel de Lujo
Kavaratti,IN,83.43,10.57,72.64,Bismillah Hotel And Lodging
Itarema,BR,83.19,-2.92,-39.92,Windvillage
Mangrol,IN,85.71,21.12,70.12,Hotel The Royal Honours
Dingle,PH,77.59,11.0,122.67,Camp Pasica
Cravo Norte,CO,82.2,6.3,-70.2,Hotel El Puerto
Ambon,ID,78.55,-3.7,128.18,Swiss-Belhotel Ambon
Lokoja,NG,79.16,7.8,6.74,Hotel Charvid
Akyab,MM,82.76,20.15,92.9,Hotel Memory
Yaan,NG,77.76,7.38,8.57,
Danilovka,RU,73.53,50.36,44.12,
Odienne,CI,83.08,9.51,-7.57,Oustaz Vame DIAKITE
Raga,SS,74.05,8.46,25.68,
Victoria,HK,84.0,22.29,114.16,Mini Hotel Central
Sorong,ID,78.94,-0.88,131.25,The Waigo Hotel
Luwuk,ID,75.2,-0.95,122.79,Hotel Santika Luwuk
Sijunjung,ID,72.5,-0.69,100.95,Hotel Bukik Gadang
Gidam,IN,76.46,18.98,81.4,Dhanshree Lodge And DormItory
Sinnamary,GF,83.59,5.38,-52.95,ALETHEIA Appartement Sinnamary
Veraval,IN,85.98,20.9,70.37,Lords Inn Somnath
Shingu,JP,74.32,33.73,135.98,Shingu UI Hotel
Yining,CN,76.32,29.04,114.56,Xiushui Hotel
Gigmoto,PH,80.69,13.78,124.39,Cj's Travellers Inn
Doka,SD,83.46,13.52,35.77,
Grottammare,IT,73.99,42.99,13.86,Hotel La Perla Preziosa
Padang,ID,78.42,-0.95,100.35,Mercure Padang
Linhares,BR,80.46,-19.39,-40.07,Hotel Conceição
Epe,NG,78.1,6.58,3.98,MAGVILLE HOTEL
Soubre,CI,78.4,5.79,-6.61,Hote Ivoire Soubre
Pasighat,IN,78.62,28.07,95.33,Siang Guest House
Arawa,PG,76.46,-6.21,155.54,Coastline Guest House
Washim,IN,81.63,20.1,77.15,Hotel Maniprabha
Nabire,ID,75.85,-3.37,135.48,Hotel Nusantara Nabire
Pokhara,NP,74.01,28.23,83.98,Hotel View Point
Mani,CO,80.85,4.82,-72.29,Hotel Belgrado
Bo Rai,TH,75.92,12.57,102.54,Baiboon Resort
Alappuzha,IN,79.34,9.49,76.33,Panoramic Sea Resort
Undory,RU,71.6,54.61,48.39,"Ul'yanovskkurort, Turoperator"
Weligama,LK,79.79,5.97,80.42,Weligama Bay Resort
Wanning,CN,82.08,18.8,110.4,Paradise Hotel
Funtua,NG,78.21,11.52,7.31,Elbintu Restaurant And Motel
Kendari,ID,73.8,-3.94,122.5,Hotel Wixel
Along,IN,75.22,28.17,94.77,Hotel West
Atuona,PF,79.75,-9.8,-139.03,Villa Enata
Albany,US,82.99,42.6,-73.97,
Bengkulu,ID,76.96,-3.8,102.27,Grage Hotel Bengkulu
Saquena,PE,81.77,-4.67,-73.52,
Lorengau,PG,82.94,-2.02,147.27,Lorengau Harbourside Hotel
Kontagora,NG,81.32,10.4,5.47,City Gate Inn
Fukue,JP,75.94,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
Kalmunai,LK,80.87,7.42,81.82,VS Villa
Batouri,CM,71.78,4.43,14.37,Hotel Hollywood
Palmer,US,73.4,42.16,-72.33,Wedgewood Motel
Tezu,IN,78.49,27.92,96.17,Circuit House
Kapaa,US,78.8,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Butaritari,KI,82.26,3.07,172.79,Isles Sunset Lodge
Roma,US,75.99,43.21,-75.46,Wingate By Wyndham Rome
Paka,MY,78.8,4.64,103.44,Rumbia Resort Villa Paka Terengganu
Inirida,CO,88.41,3.87,-67.92,Fuente del Guania Hotel de Lujo
Kavaratti,IN,83.43,10.57,72.64,Bismillah Hotel And Lodging
Itarema,BR,83.19,-2.92,-39.92,Windvillage
Mangrol,IN,85.71,21.12,70.12,Hotel The Royal Honours
Dingle,PH,77.59,11.0,122.67,Camp Pasica
Cravo Norte,CO,82.2,6.3,-70.2,Hotel El Puerto
Ambon,ID,78.55,-3.7,128.18,Swiss-Belhotel Ambon
Lokoja,NG,79.16,7.8,6.74,Hotel Charvid
Akyab,MM,82.76,20.15,92.9,Hotel Memory
Yaan,NG,77.76,7.38,8.57,
Danilovka,RU,73.53,50.36,44.12,
Odienne,CI,83.08,9.51,-7.57,Oustaz Vame DIAKITE
Raga,SS,74.05,8.46,25.68,
Victoria,HK,84.0,22.29,114.16,Mini Hotel Central
Sorong,ID,78.94,-0.88,131.25,The Waigo Hotel
Luwuk,ID,75.2,-0.95,122.79,Hotel Santika Luwuk
Sijunjung,ID,72.5,-0.69,100.95,Hotel Bukik Gadang
Gidam,IN,76.46,18.98,81.4,Dhanshree Lodge And DormItory
Sinnamary,GF,83.59,5.38,-52.95,ALETHEIA Appartement Sinnamary
Veraval,IN,85.98,20.9,70.37,Lords Inn Somnath
Shingu,JP,74.32,33.73,135.98,Shingu UI Hotel
Yining,CN,76.32,29.04,114.56,Xiushui Hotel
Gigmoto,PH,80.69,13.78,124.39,Cj's Travellers Inn
Doka,SD,83.46,13.52,35.77,
Grottammare,IT,73.99,42.99,13.86,Hotel La Perla Preziosa
Padang,ID,78.42,-0.95,100.35,Mercure Padang
Linhares,BR,80.46,-19.39,-40.07,Hotel Conceição
Epe,NG,78.1,6.58,3.98,MAGVILLE HOTEL
Soubre,CI,78.4,5.79,-6.61,Hote Ivoire Soubre
Pasighat,IN,78.62,28.07,95.33,Siang Guest House
Arawa,PG,76.46,-6.21,155.54,Coastline Guest House
Washim,IN,81.63,20.1,77.15,Hotel Maniprabha
Nabire,ID,75.85,-3.37,135.48,Hotel Nusantara Nabire
Pokhara,NP,74.01,28.23,83.98,Hotel View Point
Mani,CO,80.85,4.82,-72.29,Hotel Belgrado
Bo Rai,TH,75.92,12.57,102.54,Baiboon Resort
Alappuzha,IN,79.34,9.49,76.33,Panoramic Sea Resort
Undory,RU,71.6,54.61,48.39,"Ul'yanovskkurort, Turoperator"
Weligama,LK,79.79,5.97,80.42,Weligama Bay Resort
Wanning,CN,82.08,18.8,110.4,Paradise Hotel
Funtua,NG,78.21,11.52,7.31,Elbintu Restaurant And Motel
Kendari,ID,73.8,-3.94,122.5,Hotel Wixel
